dataset_name,model_type,error_bound,epochs,memory,horizon,batch_size,hidden_size,train_rmse,rmse,rmse_on_raw,train_start,lr,lr_gamma
lg_v3_d10,lstm,0,15,60,30,512,32,0.2144918888807296,0.2077993716495172,0.1888757141321249,2021-10-19 10:03:20.280107,0.005,0.9
lg_v3_d10,lstm,1,15,60,30,512,32,0.215724304318428,0.220592764427502,0.1947119326530107,2021-10-19 10:11:38.257933,0.005,0.9
lg_v3_d10,lstm,2,15,60,30,512,32,0.2192124873399734,0.2035355519477081,0.1938572960994293,2021-10-19 10:19:56.820363,0.005,0.9
lg_v3_d10,lstm,5,15,60,30,512,32,0.2127642035484314,0.204138979029874,0.1946286544557919,2021-10-19 10:28:19.386036,0.005,0.9
lg_v3_d10,lstm,10,15,60,30,512,32,0.2047681361436844,0.1906559385100646,0.1923633216325913,2021-10-19 10:36:23.398329,0.005,0.9
lg_v3_d10,lstm,25,15,60,30,512,32,0.2046826034784317,0.1881673782048487,0.1903627290003172,2021-10-19 10:44:29.069241,0.005,0.9
lg_v3_d10,lstm,50,15,60,30,512,32,0.2032704651355743,0.1877450984065,0.1914918542544271,2021-10-19 10:52:36.613836,0.005,0.9
lg_v3_d10,lstm,-1,15,60,30,512,32,0.2039070427417755,0.1874835995448015,0.1874835995448015,2021-10-19 11:00:41.838638,0.005,0.9
lg_v3_d25,lstm,0,15,60,30,512,32,0.2148461192846298,0.2030217931333247,0.1889088894472881,2021-10-19 11:08:47.841359,0.005,0.9
lg_v3_d25,lstm,1,15,60,30,512,32,0.2119743376970291,0.1989686926080618,0.190302057557639,2021-10-19 11:16:53.573312,0.005,0.9
lg_v3_d25,lstm,2,15,60,30,512,32,0.2082958221435547,0.208924313048922,0.1914787546086841,2021-10-19 11:24:43.300707,0.005,0.9
lg_v3_d25,lstm,5,15,60,30,512,32,0.2073469161987304,0.1890064755499358,0.1909802676376459,2021-10-19 11:32:18.681389,0.005,0.9
lg_v3_d25,lstm,10,15,60,30,512,32,0.2030510753393173,0.1853724943557751,0.1909659187472778,2021-10-19 11:40:09.111417,0.005,0.9
lg_v3_d25,lstm,25,15,60,30,512,32,0.2022495120763778,0.1829732891725892,0.1904273494747876,2021-10-19 11:48:49.300186,0.005,0.9
lg_v3_d25,lstm,50,15,60,30,512,32,0.2009521573781967,0.182572084917206,0.1886787391472352,2021-10-19 11:57:41.953468,0.005,0.9
lg_v3_d25,lstm,-1,15,60,30,512,32,0.2034339755773544,0.1869409340031143,0.1869409340031143,2021-10-19 12:05:36.172497,0.005,0.9
pmc_only,lstm,0,15,60,30,512,32,0.2038933485746383,0.1853368717362613,0.1853368717362613,2021-10-19 12:13:29.039747,0.005,0.9
pmc_only,lstm,1,15,60,30,512,32,0.20400470495224,0.1845450211316427,0.184762723328276,2021-10-19 12:21:20.937773,0.005,0.9
pmc_only,lstm,2,15,60,30,512,32,0.2041153758764267,0.185910536148442,0.1861261614055676,2021-10-19 12:29:13.498332,0.005,0.9
pmc_only,lstm,5,15,60,30,512,32,0.2025857716798782,0.1861441682031721,0.18718168279941,2021-10-19 12:37:07.550880,0.005,0.9
pmc_only,lstm,10,15,60,30,512,32,0.2018964737653732,0.1851185713604145,0.186923834018864,2021-10-19 12:45:02.379165,0.005,0.9
pmc_only,lstm,25,15,60,30,512,32,0.2010266035795211,0.1825869167943337,0.1852437974219471,2021-10-19 12:52:57.350465,0.005,0.9
pmc_only,lstm,50,15,60,30,512,32,0.198203757405281,0.1774908224731551,0.1860891962767245,2021-10-19 13:01:48.125092,0.005,0.9
pmc_only,lstm,-1,15,60,30,512,32,0.2041424810886383,0.18637266310105796,0.18637266310105796,2021-10-19 13:10:06.091988,0.005,0.9
lg_only,lr,0,15,60,30,512,-1,0.1491687297821045,0.1339586350339802,0.1339586350339802,2021-10-19 08:26:07.353721,0.005,0.9
lg_only,lr,1,15,60,30,512,-1,0.1521615386009216,0.1379364348616492,0.1370269896445032,2021-10-19 08:30:25.171079,0.005,0.9
lg_only,lr,2,15,60,30,512,-1,0.1540820747613906,0.1363980555964501,0.1330944108837355,2021-10-19 08:34:38.197202,0.005,0.9
lg_only,lr,5,15,60,30,512,-1,0.1542457938194275,0.1346030504057075,0.1345319151033319,2021-10-19 08:38:49.980567,0.005,0.9
lg_only,lr,10,15,60,30,512,-1,0.1555597782135009,0.1365283103800876,0.136853296413449,2021-10-19 08:42:58.069814,0.005,0.9
lg_only,lr,25,15,60,30,512,-1,0.1574989557266235,0.1429072426782444,0.1383679400399576,2021-10-19 08:47:09.503050,0.005,0.9
lg_only,lr,50,15,60,30,512,-1,0.1588336080312729,0.1451356482387156,0.1361312718358452,2021-10-19 08:51:17.874554,0.005,0.9
lg_only,lr,-1,15,60,30,512,-1,0.1492895185947418,0.134281194457551,0.134281194457551,2021-10-19 08:55:29.703113,0.005,0.9
lg_v3_d5,lr,0,15,60,30,512,-1,0.1586374044418335,0.1705438775634064,0.1657269467720727,2021-10-19 08:59:37.183989,0.005,0.9
