dataset_name,model_type,error_bound,train_rmse,rmse,rmse_on_raw
swing,turbo_lstm,10,0.1396786272525787,0.1267771274775188,0.1300498689866695
swing,turbo_lstm,25,0.1378273665904998,0.1177083019615407,0.1260262470450695
swing,turbo_lstm,50,0.1377265304327011,0.1016315520045196,0.11129905462097099
lost_gorilla_v1,turbo_lstm,0,0.1425596922636032,0.1289227827741442,0.1289227827741442
lost_gorilla_v1,turbo_lstm,1,0.1462530940771103,0.1312356641714781,0.1301785038209227
lost_gorilla_v1,turbo_lstm,2,0.1481319218873977,0.1333696519055125,0.1297223071779485
lost_gorilla_v1,turbo_lstm,5,0.1479188948869705,0.1306386245073914,0.1303818465320965
lost_gorilla_v1,turbo_lstm,10,0.1495607197284698,0.1315551411317577,0.1318041250240514
lost_gorilla_v1,turbo_lstm,25,0.1503418236970901,0.1369740817274102,0.1323826354283286
lost_gorilla_v1,turbo_lstm,50,0.1520109325647354,0.1417245634426995,0.1329716689678479
lost_gorilla_v3_d5,turbo_lstm,0,0.1525278985500335,0.1400723829370327,0.1341867723874067
lost_gorilla_v3_d5,turbo_lstm,1,0.1621783673763275,0.1472985902504416,0.1423141040939401
lost_gorilla_v3_d5,turbo_lstm,2,0.1755645871162414,0.1680129723674011,0.1409071280751496
lost_gorilla_v3_d5,turbo_lstm,5,0.1769534349441528,0.1847008768112389,0.1397343368033318
lost_gorilla_v3_d5,turbo_lstm,10,0.1835365444421768,0.1988288956414995,0.144383994996735
lost_gorilla_v3_d5,turbo_lstm,25,0.1818635463714599,0.1872263445876435,0.1404914300613248
lost_gorilla_v3_d5,turbo_lstm,50,0.1785938292741775,0.1864158784548158,0.1401580807858819
lost_gorilla_v3_d10,turbo_lstm,0,0.1499654948711395,0.1467318336504349,0.1309658481891923
lost_gorilla_v3_d10,turbo_lstm,1,0.150501012802124,0.1583450775671956,0.1361652911003913
lost_gorilla_v3_d10,turbo_lstm,2,0.1510163396596908,0.1405461976695886,0.1329944722416496
lost_gorilla_v3_d10,turbo_lstm,5,0.1425372511148452,0.1367981705819191,0.1330052953909125
lost_gorilla_v3_d10,turbo_lstm,10,0.1337160021066665,0.1238829539464341,0.1321820490220197
lost_gorilla_v3_d10,turbo_lstm,25,0.1325698643922805,0.1193315438340304,0.1305751822538284
lost_gorilla_v3_d10,turbo_lstm,50,0.130214661359787,0.1211621466220991,0.1323316406404717
lost_gorilla_v3_d25,turbo_lstm,0,0.1488332152366638,0.1410685744255314,0.1302184659004423
lost_gorilla_v3_d25,turbo_lstm,1,0.1441724896430969,0.1327574704258932,0.1308293599663566
lost_gorilla_v3_d25,turbo_lstm,2,0.1376600116491317,0.1393501778970386,0.1318474202902944
lost_gorilla_v3_d25,turbo_lstm,5,0.1365529894828796,0.1210306059288672,0.1304944115483831
lost_gorilla_v3_d25,turbo_lstm,10,0.1318999081850052,0.1192062816118453,0.1312946125284921
lost_gorilla_v3_d25,turbo_lstm,25,0.1295844912528991,0.1154489614258349,0.13033337266252498
lost_gorilla_v3_d25,turbo_lstm,50,0.12827399373054502,0.1158563575062872,0.131909323694754
pmc,turbo_lstm,0,0.1428961455821991,0.1288692342049383,0.1288692342049383
pmc,turbo_lstm,1,0.1424841582775116,0.1287425185610271,0.1289071579516291
pmc,turbo_lstm,2,0.14204856753349301,0.1286099796208012,0.1287895235496348
pmc,turbo_lstm,5,0.1420736461877823,0.1292156948839102,0.12954331878914
pmc,turbo_lstm,10,0.1412716060876846,0.1276110979080898,0.1287087693522887
pmc,turbo_lstm,25,0.1410725563764572,0.127534199818814,0.1290990107011306
pmc,turbo_lstm,50,0.13871239125728602,0.1211249837029801,0.1281307218242017
raw,lr,-1,0.14923598865667978,0.1342583185974688,0.1342583185974688
raw,turbo_lstm,-1,0.14263374606768287,0.12864662515664893,0.12864662515664893
